tree_id,split
0,train
2,train
3,train
4,train
5,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
21,train
24,train
25,train
27,train
29,train
30,train
31,train
32,train
33,train
34,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
44,train
45,train
46,train
47,train
48,train
49,train
51,train
52,train
53,train
58,train
60,train
61,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
98,train
99,train
100,train
101,train
102,train
104,train
105,train
106,train
109,train
110,train
111,train
112,train
113,train
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,train
140,train
141,train
142,train
143,train
145,train
146,train
147,train
149,train
151,train
153,train
154,train
155,train
156,train
158,train
159,train
161,train
162,train
163,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
178,train
179,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
190,train
192,train
193,train
194,train
197,train
198,train
199,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,train
213,train
214,train
215,train
216,train
218,train
219,train
220,train
221,train
223,train
224,train
225,train
227,train
228,train
229,train
230,train
231,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
246,train
247,train
248,train
249,train
250,train
252,train
253,train
256,train
257,train
258,train
260,train
261,train
262,train
263,train
265,train
267,train
270,train
271,train
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
298,train
299,train
300,train
301,train
302,train
303,train
306,train
307,train
308,train
309,train
310,train
311,train
312,train
313,train
314,train
315,train
316,train
317,train
318,train
321,train
322,train
323,train
324,train
325,train
326,train
327,train
329,train
330,train
331,train
332,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
341,train
342,train
343,train
344,train
346,train
347,train
349,train
350,train
351,train
352,train
353,train
355,train
356,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
371,train
372,train
373,train
374,train
376,train
377,train
378,train
380,train
381,train
382,train
383,train
385,train
386,train
388,train
389,train
390,train
391,train
392,train
394,train
395,train
396,train
397,train
400,train
401,train
402,train
404,train
405,train
406,train
407,train
408,train
409,train
411,train
413,train
414,train
416,train
417,train
418,train
419,train
420,train
422,train
423,train
425,train
427,train
428,train
429,train
430,train
431,train
432,train
435,train
437,train
438,train
439,train
440,train
442,train
443,train
444,train
445,train
446,train
447,train
448,train
450,train
451,train
452,train
453,train
455,train
457,train
461,train
462,train
463,train
464,train
465,train
466,train
467,train
468,train
469,train
470,train
471,train
472,train
473,train
476,train
477,train
478,train
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
492,train
493,train
494,train
495,train
496,train
497,train
498,train
499,train
501,train
502,train
504,train
505,train
506,train
507,train
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,train
545,train
546,train
547,train
