tree_id,threads,iqtree_ll,raxml_ll,iqtree_time,raxml_time
1,1,-2371.4284,-2371.428187,0.405144,0.017
6,1,-1840.5969,-1840.596616,0.172674,0.02
7,1,-2191.8909,-2191.890913,0.39982,0.042
8,1,-2260.9328,-2260.93276,0.321946,0.026
20,1,-2626.7913,-2626.791312,0.490435,0.059
22,1,-1883.5831,-1883.583022,0.32586,0.015
23,1,-2235.0268,-2235.026329,0.34174,0.026
26,1,-4701.7678,-4701.767824,0.369241,0.075
28,1,-3074.9831,-3074.983078,0.252046,0.025
35,1,-4265.7616,-4265.761608,0.459061,0.077
43,1,-5224.7154,-5224.715441,0.501392,0.08
50,1,-7606.3459,-7606.345944,0.534408,0.034
54,1,-9630.9239,-9630.923898,0.689249,0.118
55,1,-9304.9943,-9304.994316,0.690763,0.042
56,1,-10360.25,-10360.249928,0.675179,0.151
57,1,-9028.7678,-9028.767756,0.594717,0.085
59,1,-10978.1531,-10978.153069,0.782538,0.141
62,1,-9505.8142,-9505.813935,0.767192,0.094
70,1,-9076.7991,-9076.799125,0.562928,0.05
71,1,-9226.0565,-9226.056479,0.628019,0.173
89,1,-13374.3768,-13374.376789,0.770556,0.138
97,1,-10352.5668,-10352.566812,0.527963,0.038
103,1,-14286.7245,-14286.724451,0.48053,0.103
107,1,-18721.0346,-18721.034554,1.09881,0.086
108,1,-18782.6787,-18782.678743,1.2594,0.152
114,1,-21492.4894,-21492.489382,1.28174,0.201
129,1,-15175.0517,-15175.049913,0.43135,0.097
139,1,-25737.2893,-25737.289312,1.39294,0.322
144,1,-20446.7485,-20446.748543,1.29436,0.085
148,1,-20680.0257,-20680.025681,0.98693,0.148
150,1,-3612.1407,-3612.140662,0.900916,0.082
152,1,-3340.7134,-3340.71342,1.11472,0.096
157,1,-3165.8296,-3165.828987,1.01209,0.135
160,1,-3272.3015,-3272.301505,1.57637,0.124
164,1,-3188.5645,-3188.564475,1.10948,0.133
177,1,-7081.5144,-7081.514425,3.15277,0.279
180,1,-6215.788,-6215.788017,1.76807,0.211
189,1,-7396.1238,-7396.123797,1.50036,0.178
191,1,-7352.2328,-7352.232753,1.95798,0.243
195,1,-7961.1053,-7961.105331,1.76672,0.237
196,1,-7572.0146,-7572.014524,1.81411,0.156
200,1,-12588.9709,-12588.970855,2.63961,0.249
212,1,-15002.9199,-15002.919879,2.77912,0.326
217,1,-14611.7312,-14611.731237,2.78988,0.365
222,1,-14255.1166,-14255.116556,3.5141,0.371
226,1,-17960.966,-17960.96604,3.29192,0.385
232,1,-22835.9583,-22835.95829,3.96749,0.597
245,1,-19545.1335,-19545.133547,3.64076,0.524
251,1,-5330.0302,-5330.030231,2.99814,0.281
254,1,-5255.7556,-5255.755497,3.77357,0.308
255,1,-4121.5491,-4121.548264,2.25869,0.407
259,1,-5074.5449,-5074.544467,2.5079,0.351
264,1,-5085.9129,-5085.912933,2.99635,0.28
266,1,-5682.6005,-5682.599862,3.36473,0.336
268,1,-6047.53,-6047.529897,4.33461,0.338
269,1,-5504.186,-5504.185959,2.266,0.489
289,1,-10725.5928,-10725.592554,5.88867,0.58
297,1,-11203.5613,-11203.561299,5.97172,0.509
304,1,-21529.7532,-21529.753158,10.1901,0.821
305,1,-23319.7776,-23319.777191,8.78235,1.031
319,1,-21970.9527,-21970.952733,9.61235,1.187
320,1,-19487.5039,-19487.503912,8.30605,1.13
328,1,-3971.6357,-3971.635641,2.7696,0.263
340,1,-4098.4399,-4098.439857,1.44754,0.238
345,1,-4951.9988,-4951.998406,2.0398,0.258
348,1,-9322.1353,-9322.135317,3.60059,0.461
354,1,-8032.519,-8032.518759,2.482,0.296
357,1,-8378.7778,-8378.777846,3.30292,0.33
358,1,-9005.1614,-9005.161357,3.11479,0.422
370,1,-9673.5805,-9673.580547,3.86298,0.392
375,1,-16300.0057,-16300.005662,6.18674,0.695
379,1,-18060.0412,-18060.041209,5.26011,0.68
384,1,-37420.1192,-37420.119193,9.21442,0.838
387,1,-34210.0542,-34210.054118,6.61192,0.959
393,1,-31167.3842,-31167.384202,4.99438,0.644
398,1,-30582.5129,-30582.512909,5.08996,0.575
399,1,-36353.1938,-36353.193751,9.68592,0.886
403,1,-36946.1078,-36946.107798,13.0842,1.605
410,1,-40324.0331,-40324.033132,13.8478,1.42
412,1,-42811.4035,-42811.403464,13.7171,1.461
415,1,-39171.5088,-39171.508763,13.6414,1.068
421,1,-54083.8167,-54083.816676,23.5414,3.473
424,1,-52811.7364,-52811.736417,26.5543,4.344
426,1,-29525.2815,-29525.28149,15.6793,0.978
433,1,-28719.923,-28719.922988,8.88497,0.647
434,1,-26561.7052,-26561.705172,5.05909,0.633
436,1,-27905.6898,-27905.689798,6.1427,0.583
441,1,-33771.7578,-33771.757827,8.21344,0.902
449,1,-35481.3831,-35481.383067,11.4551,1.488
454,1,-32770.7803,-32770.780299,9.09097,0.993
456,1,-34994.879,-34994.879034,9.90332,1.095
458,1,-33586.45,-33586.449973,8.21064,1.085
459,1,-31147.6066,-31147.606071,10.453,0.918
460,1,-34364.7791,-34364.779052,9.37171,1.13
474,1,-25863.7765,-25863.776479,7.84357,0.919
475,1,-25071.4724,-25071.472359,9.82221,0.921
490,1,-29698.829,-29698.828965,8.33793,1.02
491,1,-21651.7078,-21651.7078,6.29718,0.766
500,1,-29881.5009,-29881.500867,12.9963,1.4
503,1,-32973.4172,-32973.417225,12.2217,1.389
